"simulacao";"alunos";"aluguel";"custo";"pessoal";"despesas";"imposto";"fluxoCaixa";"fluxoAcumulado";"ano"
1439;640844,060453802;184239,783109025;102310,194451121;288893,703752196;33847,8817475465;33003,3537425131;367028,709869451;28955,4923206985;2
1439;649896,178937964;179174,547747556;113067,907429604;317841,610059642;37052,2555384721;33162,8290674208;327946,124590382;356901,61691108;3
1439;701903,431484757;189964,992202661;124929,060779569;355168,893231239;40497,560268998;35674,7369474967;335598,172460116;692499,789371195;4
1440;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1440;599675,490030215;168517,576891228;95225,9273928155;263599,652270675;31159,728690217;30727,7226768577;347480,035890877;-355459,914109123;1
1440;635509,00230006;169720,752449369;104882,844729107;289059,851517702;34555,6993784155;32209,1901899772;344522,168934227;-10937,7451748956;2
1440;684324,037517964;164178,158273332;114717,947632163;318345,363097396;37814,3376583941;33940,0878316519;343684,459571691;332746,714396795;3
1440;742489,180695969;163490,527321595;125032,897902699;347110,669909208;41196,3761175953;36239,1883207026;356400,575767359;689147,290164155;4
1441;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1441;604264,333239563;168158,205044641;94701,341570038;268095,47402296;31420,9846144126;30896,9015313682;347307,836545426;-355632,113454574;1
1441;670108,78143304;176125,716786136;103564,623930088;293644,801913854;34409,1456520978;33849,379928767;380766,546794369;25134,433339795;2
1441;724336,461548758;181045,890410522;113978,696405242;324143,386659408;37828,8102825999;36215,2940783712;393216,164533659;418350,597873454;3
1441;752349,49405232;176857,073500948;123459,161462863;359968,563172404;41177,0837584747;37168,2627021307;367433,496457395;785784,094330849;4
1442;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1442;582362,959353695;178896,109439254;93750,8756593127;264644,187068406;31113,811010362;30450,362751718;341299,832303151;-361640,117696849;1
1442;608339,267874977;176197,79010159;103626,489993413;292672,263373472;34201,2491851284;31381,4823190627;322655,573105491;-38984,5445913585;2
1442;674903,208780877;172331,904706342;113308,742951145;322226,691321296;37621,6562967416;33889,4045394888;340188,618378548;301204,073787189;3
1442;707376,371698766;176067,433906676;122969,494220409;353042,142863443;40902,9507636959;35337,7522242177;331191,465533677;632395,539320867;4
1443;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1443;577529,31807395;161748,261263263;94368,6907892287;267092,297675375;31339,7551287099;29571,1031734885;316905,73257041;-386034,21742959;1
1443;619939,00708172;166267,210019334;104580,193156695;291639,043111854;35114,248642957;31448,2486840421;323424,483505504;-62609,7339240853;2
1443;684628,318679689;168131,549561718;114939,080480184;320862,83545485;39093,8422647669;34110,3947296563;343753,715311949;281143,981387864;3
1443;750493,593286963;165897,448853063;128658,389143935;351762,970063117;43174,6714813558;36655,6416856011;356139,369766018;637283,351153882;4
1444;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1444;584758,479710696;176774,857410423;94338,8318947454;264816,742589658;31282,2892183517;30461,3334848448;340634,139933519;-362305,810066481;1
1444;617922,828692914;176865,626012957;102519,886381342;289823,432664909;33990,867857075;31791,5381882348;336662,729614309;-25643,0804521717;2
1444;662698,977855643;173138,223118257;113133,530591284;318114,147810974;37405,9710649677;33433,488038956;333750,06346772;308106,983015548;3
1444;716810,664260289;180238,021436789;125771,691570108;351380,133051702;41645,1959684602;35881,9474278831;342369,717678924;650476,700694472;4
1445;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1445;586745,615123998;168514,946322892;95105,3152351014;262327,765172437;31262,0031362485;30210,4224578756;336355,055445227;-366584,894554773;1
1445;621257,741068035;163454,465631857;106240,258034079;284717,401776117;34687,6197170951;31388,4882679957;327678,438904605;-38906,4556501677;2
1445;639458,437380464;165516,358708051;118747,043447856;306109,361357088;38585,6881747203;32198,9918435406;309333,711265311;270427,255615143;3
1445;704822,622251681;169706,485371683;130829,705839879;339877,640160797;42453,1278065001;34981,1643049346;326387,469511253;596814,725126396;4
1446;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1446;603571,087289079;178871,957538579;93122,7349954705;264978,644572725;31100,4068050754;31297,7217931064;361943,536661282;-340996,413338718;1
1446;652441,242638328;182289,452854393;103528,349104911;295233,106384363;34383,9992055112;33389,2278197088;368196,012978227;27199,5996395089;2
1446;681535,208955826;187500,031089267;115367,674804044;329527,080397788;38003,8245738821;34761,4096018037;351375,250667575;378574,850307084;3
1446;721102,083479227;181982,311994965;128336,079610318;364062,709505954;41217,7903441773;36123,3758189677;333344,440194776;711919,29050186;4
1447;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1447;591328,34433648;166781,331378101;94917,5119302248;266641,634263132;31517,8708699563;30324,3870285832;334708,271622684;-368231,678377316;1
1447;682112,695518062;173277,739805087;106319,839168824;292132,337031254;34784,9403487222;34215,617412926;387937,701361422;19706,0229841063;2
1447;707407,908698435;172648,783410538;116924,252390911;321432,565066379;38547,2514370263;35202,2676843589;367950,355530298;387656,378514404;3
1447;784106,003853869;177424,771107084;129161,741659402;353947,105237592;41771,6358013927;38461,2309984381;398189,061264129;785845,439778532;4
1448;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1448;582224,808246935;169565,883159632;94419,9149692423;263530,768606008;31404,6741494391;30071,6276562627;332363,706025615;-370576,243974385;1
1448;637159,944548941;163494,919746718;103495,438126921;291942,562337986;34319,126486837;32026,1945718264;338871,542772089;-31704,7012022961;2
1448;679513,639785724;167355,577131481;113274,017430875;322447,269136643;37308,4309317112;33874,7686766882;339964,730741288;308260,029538992;3
1448;758217,002768854;166209,485301503;124215,139538365;358748,542407274;41072,2750343754;36977,0595228143;363413,471567528;671673,50110652;4
1449;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1449;591159,074179016;167568,833171652;94766,1642110788;261196,311692172;31341,849193942;30349,1162940267;341074,465959448;-361865,484040552;1
1449;634335,786805165;167896,420630214;103706,507694496;280469,567618398;34246,1310395553;32089,2882974152;351720,712785515;-10144,771255037;2
1449;676113,617732238;167326,548799891;115065,298171347;305410,901803223;37887,9810103668;33737,6066612852;351338,378885907;341193,60763087;3
1449;734737,845920812;168944,727797564;128161,372480136;332102,700415513;41796,7475700505;36147,302948735;365474,450303941;706668,057934811;4
1450;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1450;579219,375422821;163176,407572206;93158,2247500672;256419,8512108;31586,9862491839;29695,8313198011;331534,889465176;-371405,060534824;1
1450;666946,793979706;165706,477609757;101878,596601576;283176,529297087;34605,7070918628;33306,1308635785;379686,307735359;8281,2472005345;2
1450;699214,212934661;168819,665838974;112623,130257933;315584,913475798;38304,5280112138;34721,3551509454;366799,951877746;375081,19907828;3
1450;768485,737683247;178415,337205073;123769,141880619;348187,506094043;41880,4447580435;37876,0429955328;395187,939160083;770269,138238363;4
1451;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1451;574065,355526663;167293,00653936;93677,5084972052;268029,591694077;31472,7464875172;29654,3344826409;318524,180904583;-384415,769095417;1
1451;624117,108485581;166274,956102821;103563,809264903;297351,630157062;34594,794835375;31615,6825835361;323266,147747526;-61149,6213478911;2
1451;700165,158477924;167795,84092625;112640,923098826;325048,512035209;38461,8729066838;34718,4399761669;357091,251387288;295941,630039397;3
1451;757922,209907825;161342,917890794;125647,417604231;363786,491835486;43341,8720193027;36770,6051119447;349718,741227654;645660,37126705;4
1452;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1452;585483,629909887;166447,303761125;94892,1177265568;263880,947206497;31359,7945675378;30077,2373468405;331720,83682358;-371219,11317642;1
1452;631651,452229771;170202,125537282;104607,700848128;294836,775754213;34228,2596617887;32074,1431106821;336106,698392241;-35112,4147841794;2
1452;666786,717886304;171310,026112744;115241,284149399;321518,362609645;37213,9556551386;33523,8697599619;330599,271824904;295486,857040724;3
1452;724579,998834359;166045,818468846;126436,650031069;350209,02752586;40928,9566821076;35625,0326921282;337426,15037204;632913,007412765;4
1453;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1453;549897,457120778;163848,155839531;93408,0006951848;261875,20413859;31095,3699408145;28549,8245184124;298817,213667308;-404122,736332692;1
1453;575547,200903318;151711,220730732;102405,203196463;289411,3057084;34317,9558230212;29090,336865362;272033,620040804;-132089,116291888;2
1453;599214,646445993;141958,200045136;112561,484996612;320018,089089074;37677,9152154772;29646,9138596451;241268,44333032;109179,327038431;3
1453;660760,469895435;136069,281115785;124188,845947807;349132,292233871;41928,570902034;31873,1900404488;249706,85188706;358886,178925491;4
1454;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1454;619385,860687016;167533,498966237;94137,3973415232;265797,470602249;31425,2804340069;31476,7743861301;364082,436889343;-338857,513110657;1
1454;669786,900788352;161541,466301455;103460,631250843;295240,026259512;34193,0107928403;33253,1346835923;365181,564103019;26324,0509923626;2
1454;736727,978943596;161936,173308738;114037,908410797;322281,904826656;37768,0908273713;35946,5660900934;388629,682097416;414953,733089778;3
1454;828590,683767132;167900,749380559;123144,434661311;356081,175999895;41991,4392532272;39859,6573259076;435414,72590735;850368,458997128;4
1455;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1455;611280,834771196;170970,995484933;93990,0896306;264389,248975909;31688,5454488567;31290,0732102451;360893,872990518;-342046,077009482;1
1455;631381,232108482;170689,711213708;102835,788711229;290573,590070885;35115,0467991056;32082,8377328876;341463,680008081;-582,397001400765;2
1455;669221,86477947;175848,866090912;112734,285177935;320838,105562218;38448,2752461732;33802,8292348153;339247,235649241;338664,83864784;3
1455;746768,980357134;171408,117300269;122542,362956502;354382,716792557;42249,8680836177;36727,0839062961;362275,065918431;700939,904566271;4
1456;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1456;601487,922466467;172912,102419998;94682,1040425447;263609,78919322;30679,1125160561;30976,0009954586;354453,018139186;-348486,931860814;1
1456;638759,329846611;177081,870210276;105797,249481471;296097,125618714;33823,0457257995;32633,6480022755;347490,131228627;-996,8006321867;2
1456;692172,81639157;169966,89117864;116991,525952715;320702,749242234;38019,984313731;34485,5883028084;351939,859758723;350943,059126536;3
1456;736528,9785601;178618,362529234;129461,224238027;350411,899154469;41848,7305367002;36605,8936435733;356819,593516565;707762,652643101;4
1457;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
